Date,Value
2016-03-31,163.594733
2016-02-29,162.41797256
2016-01-31,161.14493359
2015-12-31,160.82389332
2015-11-30,160.8325213
2015-10-31,160.85053916
2015-09-30,160.49664539
2015-08-31,159.64763676
2015-07-31,158.60605089
2015-06-30,157.48612345
2015-05-31,156.34808225
2015-04-30,154.9766592
2015-03-31,153.48784972
2015-02-28,152.11748121
2015-01-31,151.10984843
2014-12-31,150.47707044
2014-11-30,149.57000941
2014-10-31,148.39308158
2014-09-30,147.78177963
2014-08-31,147.96733192
2014-07-31,148.15006636
2014-06-30,147.82851311
2014-05-31,147.15492738
2014-04-30,146.3270862
2014-03-31,145.50573373
2014-02-28,144.71852681
2014-01-31,143.88289445
2013-12-31,143.32073767
2013-11-30,143.16702105
2013-10-31,142.91000092
2013-09-30,142.34372575
2013-08-31,141.65978362
2013-07-31,140.50515669
2013-06-30,138.46619528
2013-05-31,136.07331457
2013-04-30,133.71166316
2013-03-31,131.15977144
2013-02-28,128.66068682
2013-01-31,126.90512602
2012-12-31,125.96206567
2012-11-30,125.30076061
2012-10-31,124.34475331
2012-09-30,123.03242686
2012-08-31,121.59829741
2012-07-31,119.81236092
2012-06-30,117.37926582
2012-05-31,114.43176988
2012-04-30,111.54186848
2012-03-31,108.86061146
2012-02-29,106.5016674
2012-01-31,105.0287416
2011-12-31,104.38856244
2011-11-30,103.81431136
2011-10-31,103.38914787
2011-09-30,103.37224777
2011-08-31,103.24042366
2011-07-31,102.96350206
2011-06-30,102.70538589
2011-05-31,102.82026527
2011-04-30,103.49191181
2011-03-31,104.25332132
2011-02-28,104.63678227
2011-01-31,104.6437257
2010-12-31,104.84831997
2010-11-30,105.80745501
2010-10-31,107.63807742
2010-09-30,109.93795879
2010-08-31,112.40778683
2010-07-31,114.63587098
2010-06-30,116.00523824
2010-05-31,116.43116223
2010-04-30,116.49123941
2010-03-31,116.81829851
2010-02-28,117.3358355
2010-01-31,118.06249499
2009-12-31,119.10535067
2009-11-30,120.27990874
2009-10-31,121.19618186
2009-09-30,121.71387115
2009-08-31,122.05186975
2009-07-31,122.42180929
2009-06-30,122.74806547
2009-05-31,123.30103956
2009-04-30,124.54033867
2009-03-31,126.65640361
2009-02-28,129.53998664
2009-01-31,132.57128296
2008-12-31,135.97692936
2008-11-30,140.31925786
2008-10-31,145.50900158
2008-09-30,150.48821476
2008-08-31,154.66394937
2008-07-31,158.88994454
2008-06-30,162.93852416
2008-05-31,165.76752083
2008-04-30,167.97611964
2008-03-31,170.7890385
2008-02-29,173.9791371
2008-01-31,177.27771103
2007-12-31,180.8257428
2007-11-30,184.48981724
2007-10-31,188.18934533
2007-09-30,191.70559171
2007-08-31,194.85266651
2007-07-31,197.38392842
2007-06-30,199.21334619
2007-05-31,200.17926043
2007-04-30,200.38478424
2007-03-31,200.39080527
2007-02-28,200.12662331
2007-01-31,199.62779566
2006-12-31,199.62403946
2006-11-30,200.49712018
2006-10-31,201.67132354
2006-09-30,202.56303358
2006-08-31,203.69044053
2006-07-31,204.70382107
2006-06-30,205.22549149
2006-05-31,205.25491197
2006-04-30,204.16109558
2006-03-31,202.432469
2006-02-28,200.66727821
2006-01-31,198.7366321
2005-12-31,196.90095007
2005-11-30,195.56535659
2005-10-31,194.15826962
2005-09-30,191.8177628
2005-08-31,188.34025642
2005-07-31,183.79281331
2005-06-30,178.16095923
2005-05-31,171.47979765
2005-04-30,164.69208294
2005-03-31,158.47050369
2005-02-28,152.99230649
2005-01-31,148.80529605
2004-12-31,146.07932654
2004-11-30,143.9066764
2004-10-31,141.45161805
2004-09-30,138.93535522
2004-08-31,136.60180057
2004-07-31,134.38780638
2004-06-30,131.96277859
2004-05-31,129.39010029
2004-04-30,127.24321355
2004-03-31,125.59469911
2004-02-29,124.40391458
2004-01-31,123.44006127
2003-12-31,122.49901926
2003-11-30,121.83216437
2003-10-31,121.11406809
2003-09-30,120.07599396
2003-08-31,119.03497899
2003-07-31,118.05882711
2003-06-30,117.1275009
2003-05-31,116.38396263
2003-04-30,115.65655757
2003-03-31,114.72085924
2003-02-28,113.6813108
2003-01-31,112.89049067
2002-12-31,112.49657789
2002-11-30,112.22706217
2002-10-31,111.83129449
2002-09-30,111.17871658
2002-08-31,110.44930814
2002-07-31,109.799405
2002-06-30,109.15561815
2002-05-31,108.58422362
2002-04-30,107.9102423
2002-03-31,107.06230363
2002-02-28,106.2421238
2002-01-31,105.62155512
2001-12-31,105.24174276
2001-11-30,105.05170486
2001-10-31,104.9036151
2001-09-30,104.544724
2001-08-31,104.17212874
2001-07-31,103.8947074
2001-06-30,103.38127236
2001-05-31,102.76511574
2001-04-30,102.19035717
2001-03-31,101.41696397
2001-02-28,100.68570279
2001-01-31,100.25988554
2000-12-31,100.0
2000-11-30,99.745899505
2000-10-31,99.420081496
2000-09-30,99.085386395
2000-08-31,98.879938905
2000-07-31,98.748141101
2000-06-30,98.551598477
2000-05-31,98.054950901
2000-04-30,97.307092382
2000-03-31,96.649240196
2000-02-29,95.932066768
2000-01-31,95.188112749
1999-12-31,94.492212938
1999-11-30,93.946640461
1999-10-31,93.68962319
1999-09-30,93.460069611
1999-08-31,93.123448674
1999-07-31,92.639621025
1999-06-30,92.077463054
1999-05-31,91.569704605
1999-04-30,91.111057708
1999-03-31,90.541337799
1999-02-28,89.929753696
1999-01-31,89.513850222
1998-12-31,89.128970318
1998-11-30,88.72801128
1998-10-31,88.436178442
1998-09-30,88.257738524
1998-08-31,88.0777946
1998-07-31,87.673848208
1998-06-30,87.098082184
1998-05-31,86.596178143
1998-04-30,86.167032881
1998-03-31,85.70134426
1998-02-28,85.210015699
1998-01-31,84.693004223
1997-12-31,84.273254895
1997-11-30,84.00779903
1997-10-31,83.860801351
1997-09-30,83.701803502
1997-08-31,83.459424637
1997-07-31,83.258364718
1997-06-30,83.074574953
1997-05-31,82.793217813
1997-04-30,82.371739284
1997-03-31,81.823606922
1997-02-28,81.337976927
1997-01-31,81.01759002
1996-12-31,80.862247572
1996-11-30,80.93807288
1996-10-31,81.095062579
1996-09-30,81.06577102
1996-08-31,80.906857487
1996-07-31,80.596736263
1996-06-30,80.126813777
1996-05-31,79.776078017
1996-04-30,79.535880651
1996-03-31,79.25986701
1996-02-29,78.865546512
1996-01-31,78.434206174
1995-12-31,78.055761988
1995-11-30,77.836730849
1995-10-31,77.747406521
1995-09-30,77.553946112
1995-08-31,77.21400676
1995-07-31,76.872345939
1995-06-30,76.562815427
1995-05-31,76.215979616
1995-04-30,75.813677607
1995-03-31,75.373377571
1995-02-28,75.038308152
1995-01-31,74.893249192
1994-12-31,74.821039668
1994-11-30,74.649121861
1994-10-31,74.343803582
1994-09-30,73.918162694
1994-08-31,73.461818838
1994-07-31,73.130987591
1994-06-30,72.898523459
1994-05-31,72.424876936
1994-04-30,71.650638685
1994-03-31,70.914029736
1994-02-28,70.375535647
1994-01-31,70.104148121
1993-12-31,69.973731247
1993-11-30,69.740971391
1993-10-31,69.383356097
1993-09-30,69.040188186
1993-08-31,68.809222526
1993-07-31,68.581903267
1993-06-30,68.15584185
1993-05-31,67.64903408
1993-04-30,67.303618698
1993-03-31,67.133711703
1993-02-28,67.111429716
1993-01-31,67.206827438
1992-12-31,67.219223598
1992-11-30,67.142479891
1992-10-31,67.158035054
1992-09-30,67.187538952
1992-08-31,67.067964518
1992-07-31,66.830318934
1992-06-30,66.681514107
1992-05-31,66.649472097
1992-04-30,66.574176992
1992-03-31,66.364564174
1992-02-29,66.173433144
1992-01-31,66.212248358
1991-12-31,66.457169133
1991-11-30,66.50787752
1991-10-31,66.077652272
1991-09-30,65.504165598
1991-08-31,65.227366396
1991-07-31,65.274629341
1991-06-30,65.297694609
1991-05-31,65.128463701
1991-04-30,64.95329537
1991-03-31,64.870623985
1991-02-28,64.72410797
1991-01-31,64.489881368
1990-12-31,64.344913765
1990-11-30,64.434217629
1990-10-31,64.752263342
1990-09-30,65.116510143
1990-08-31,65.374197812
1990-07-31,65.470364144
1990-06-30,65.394523029
1990-05-31,65.244590442
1990-04-30,65.163772667
1990-03-31,65.210446986
1990-02-28,65.299375985
1990-01-31,65.29578893
1989-12-31,65.253867636
1989-11-30,65.367381144
1989-10-31,65.655752117
1989-09-30,65.851313806
1989-08-31,65.712342903
1989-07-31,65.473057732
1989-06-30,65.393158525
1989-05-31,65.376806158
1989-04-30,65.340002116
1989-03-31,65.299855313
1989-02-28,65.291879403
1989-01-31,65.338146679
1988-12-31,65.42439824
1988-11-30,65.550861194
1988-10-31,65.656113374
1988-09-30,65.672293113
1988-08-31,65.635872783
1988-07-31,65.647388196
1988-06-30,65.755696795
1988-05-31,65.882555651
1988-04-30,65.890662203
1988-03-31,65.730164216
1988-02-29,65.529897963
1988-01-31,65.364337665
1987-12-31,65.211632832
1987-11-30,65.10388786
1987-10-31,65.153838362
1987-09-30,65.307331827
1987-08-31,65.494420124
1987-07-31,65.648204313
1987-06-30,65.587487766
1987-05-31,65.432764842
1987-04-30,65.460224301
1987-03-31,65.569162664
1987-02-28,65.463264405
1987-01-31,65.125384873
1986-12-31,64.589550788
1986-11-30,63.930694098
1986-10-31,63.805980967
1986-09-30,64.455726381
1986-08-31,65.233383672
1986-07-31,65.658615404
1986-06-30,65.701501553
1986-05-31,65.407880402
1986-04-30,64.744618188
1986-03-31,63.971193657
1986-02-28,63.411324344
1986-01-31,63.106863245
1985-12-31,62.94581549
1985-11-30,62.875660247
1985-10-31,62.839655432
1985-09-30,62.689789725
1985-08-31,62.398393332
1985-07-31,62.045747218
1985-06-30,61.697543541
1985-05-31,61.388416842
1985-04-30,61.179994174
1985-03-31,61.130272274
1985-02-28,61.273296499
1985-01-31,61.515632829
1984-12-31,61.655330998
1984-11-30,61.653602014
1984-10-31,61.62567682
1984-09-30,61.663656854
1984-08-31,61.664111023
1984-07-31,61.514710132
1984-06-30,61.296270212
1984-05-31,60.995104001
1984-04-30,60.495936807
1984-03-31,59.860700032
1984-02-29,59.245798433
1984-01-31,58.730954246
1983-12-31,58.332713855
1983-11-30,58.065337527
1983-10-31,57.928316499
1983-09-30,57.923277908
1983-08-31,58.147407115
1983-07-31,58.624897997
1983-06-30,59.228823779
1983-05-31,59.765119755
1983-04-30,60.030728576
1983-03-31,59.969908433
1983-02-28,59.613903155
1983-01-31,59.030155638
1982-12-31,58.323064852
1982-11-30,57.619730964
1982-10-31,57.023618124
1982-09-30,56.583931171
1982-08-31,56.333503355
1982-07-31,56.278515889
1982-06-30,56.423338417
1982-05-31,56.56277677
1982-04-30,56.455261145
1982-03-31,56.199902688
1982-02-28,56.006006735
1982-01-31,55.931248778
1981-12-31,55.918443606
1981-11-30,55.963935802
1981-10-31,56.058588196
1981-09-30,56.052429746
1981-08-31,55.872003079
1981-07-31,55.6777282
1981-06-30,55.57774479
1981-05-31,55.427312036
1981-04-30,55.129167738
1981-03-31,54.788075897
1981-02-28,54.497993097
1981-01-31,54.319735046
1980-12-31,54.304009294
1980-11-30,54.391201771
1980-10-31,54.448218895
1980-09-30,54.205692322
1980-08-31,53.498938131
1980-07-31,52.553525168
